Age category;Average distance made by plane per person in 2015, in km;+/-
6-17 years;3545.8596502674336;467.7528689583279
18-24 years;7004.5062944426;968.1845463520254
25-44 years;8037.567986959279;683.9113103092374
45-64 years;6676.132033956125;540.7910049893567
65-79 years;3405.381089746784;501.9979641197637
80 years and over;775.1432750320815;377.1805526305366
