Age category,"Average distance made by plane per person in 2015 (other trips), in km",+/-
6-17 years,48.8107214417278,35.667799502643724
18-24 years,791.3751108771022,402.4350173169444
25-44 years,196.5129211954018,99.5037428449886
45-64 years,156.8338539178567,70.65978651860294
65-79 years,76.69137711991196,57.294636354237376
80 years and over,28.0403680425581,42.57333973106921
