Age category;Average distance made by plane per person in 2015 (business trips), in km;+/-
6-17 years;4.035825371855866;5.23948383301305
18-24 years;243.85703831412994;210.04810421571202
25-44 years;1120.968574046341;318.8346016930667
45-64 years;1127.4079210371076;289.4730575709852
65-79 years;214.03347016672475;139.43731259625574
80 years and over;0.0;0.0
