Age category;Average distance made by plane per person in 2015 (private trips), in km;+/-
6-17 years;3493.0131034538495;464.6791946774375
18-24 years;5969.274145251369;870.2117890940856
25-44 years;6720.086491717535;595.9643930140824
45-64 years;5391.890259001162;449.4708136418844
65-79 years;3114.656242460147;478.7589920562524
80 years and over;747.1029069895234;374.9639636227573
